station_id,name,lat,lon,capacity,num_bikes_available,num_docks_available
7131,Taddle Creek Park,43.66986,-79.398443,15,12,3
7132,Kendal Ave / Spadina Rd,43.670318,-79.405181,9,3,6
7134,Marlborough Ave / Yonge St,43.68,-79.391111,23,2,21
7135,Hanna Ave / Liberty St,43.638333,-79.419722,15,10,5
7136,Queen St W / Close Ave,43.640634,-79.435841,23,13,10
7137,Davenport Rd / Bathurst St,43.676667,-79.416111,31,14,17
7138,Davenport Rd / Christie St,43.675278,-79.423889,31,5,25
7139,Glen Edyth Dr / Davenport Rd,43.677778,-79.405556,15,10,5
7140,Macpherson Ave / Spadina Rd,43.675791,-79.40698,15,6,9
7141,Bridgeman Ave / Kendal Ave - SMART,43.675556,-79.410278,15,9,6
7142,Bridgeman Ave / Bathurst St,43.674444,-79.414722,15,14,1
7143,Kendal Ave / Bernard Ave,43.671513,-79.408317,15,5,10
7144,Palmerston Ave / Vermont Ave,43.671389,-79.416389,15,6,9
7146,Christie St / Benson Ave (Wychwood Barns),43.68,-79.425,18,10,8
7147,King St W / Fraser Ave,43.6394444,-79.42527778,15,4,11
7148,King St W / Joe Shuster Way,43.639444,-79.423611,15,12,3
7149,Yarmouth Rd / Christie St,43.67,-79.42083333,11,10,1
7150,Dufferin St / Sylvan Av (Dufferin Grove Park),43.6555556,-79.43361111,19,12,7
7151,Essex St / Christie St - SMART,43.6686111,-79.42027778,19,10,9
7152,Ossington Ave / Bloor St W,43.661705,-79.425734,11,3,8
7153,Bloor St W / Christie St,43.6638889,-79.41888889,19,11,8
7154,Bathurst Subway Station,43.6666667,-79.41166667,23,4,19
7155,Bathurst St / Lennox St,43.663808,-79.410491,19,7,12
7156,Salem Ave / Bloor St W,43.6608333,-79.43166667,15,6,9
7157,Dufferin St / Bloor St,43.66083333,-79.43583333,23,12,11
7158,King St W / Stafford St,43.6422222,-79.41111111,15,13,2
7160,King St W / Tecumseth St,43.64333333,-79.40555556,15,1,13
7161,Beverley St / College St,43.6575,-79.39527778,23,16,7
7162,Hayter St / Laplante Ave,43.65916667,-79.38555556,23,13,10
7163,Yonge St / Wood St,43.6622222,-79.3825,15,5,10
7164,Gould St / Yonge St (Ryerson University),43.657424,-79.381019,23,4,19
7167,Queen St E / George St (Moss Park),43.6544444,-79.37111111,17,13,4
7168,Queens Quay / Yonge St,43.641646,-79.375308,31,24,7
7169,Front St W / Bay St (North Side),43.646162,-79.378912,11,3,8
7170,Spadina Ave / Willcocks St,43.6616667,-79.40138889,15,12,3
